article_name,article_url
Curt VanderWall,https://en.wikipedia.org/wiki/Curt_VanderWall

Gilles Klopman,https://en.wikipedia.org/wiki/Gilles_Klopman

Kathleen R. McNamara,https://en.wikipedia.org/wiki/Kathleen_R._McNamara

Kingnait Pass,https://en.wikipedia.org/wiki/Kingnait_Pass

Bobby Jones: Stroke of Genius,https://en.wikipedia.org/wiki/Bobby_Jones:_Stroke_of_Genius

National Hollerin' Contest,https://en.wikipedia.org/wiki/National_Hollerin%27_Contest

Shane O'Donoghue (journalist),https://en.wikipedia.org/wiki/Shane_O%27Donoghue_(journalist)

Barbara Craddock,https://en.wikipedia.org/wiki/Barbara_Craddock

Ellen Li,https://en.wikipedia.org/wiki/Ellen_Li

Giovanni Battista Stefaneschi,https://en.wikipedia.org/wiki/Giovanni_Battista_Stefaneschi

Félix Máriássy,https://en.wikipedia.org/wiki/F%C3%A9lix_M%C3%A1ri%C3%A1ssy

Soizy-aux-Bois,https://en.wikipedia.org/wiki/Soizy-aux-Bois

Wólka Leszczańska,https://en.wikipedia.org/wiki/W%C3%B3lka_Leszcza%C5%84ska

Püreviin Jigjidsüren,https://en.wikipedia.org/wiki/P%C3%BCreviin_Jigjids%C3%BCren

Juan Bautista Pedemonte,https://en.wikipedia.org/wiki/Juan_Bautista_Pedemonte

Kim Yusob,https://en.wikipedia.org/wiki/Kim_Yusob

Metatheory,https://en.wikipedia.org/wiki/Metatheory

Lewis Steward House,https://en.wikipedia.org/wiki/Lewis_Steward_House

Nuuk Stadium,https://en.wikipedia.org/wiki/Nuuk_Stadium

Khalid Skah,https://en.wikipedia.org/wiki/Khalid_Skah

Disneymania 2,https://en.wikipedia.org/wiki/Disneymania_2

"Bizhou, Heilongjiang","https://en.wikipedia.org/wiki/Bizhou,_Heilongjiang"

"Purdy Township, Barry County, Missouri","https://en.wikipedia.org/wiki/Purdy_Township,_Barry_County,_Missouri"

Triangle offense,https://en.wikipedia.org/wiki/Triangle_offense

Onontio,https://en.wikipedia.org/wiki/Onontio

Georgina Island,https://en.wikipedia.org/wiki/Georgina_Island

Naval Secretary,https://en.wikipedia.org/wiki/Naval_Secretary

National Catholic Diocese in America,https://en.wikipedia.org/wiki/National_Catholic_Diocese_in_America

Nancy Moritz,https://en.wikipedia.org/wiki/Nancy_Moritz

Pox: Save the People,https://en.wikipedia.org/wiki/Pox:_Save_the_People

Central Avenue/Camelback station,https://en.wikipedia.org/wiki/Central_Avenue/Camelback_station

Ray Neal,https://en.wikipedia.org/wiki/Ray_Neal

Krotite,https://en.wikipedia.org/wiki/Krotite

Unpromising villages,https://en.wikipedia.org/wiki/Unpromising_villages

Alpha Phi Beta,https://en.wikipedia.org/wiki/Alpha_Phi_Beta

Hypostatic union,https://en.wikipedia.org/wiki/Hypostatic_union

"Waśki, Kolno County","https://en.wikipedia.org/wiki/Wa%C5%9Bki,_Kolno_County"

Enrique Octavio Trejo Azuara,https://en.wikipedia.org/wiki/Enrique_Octavio_Trejo_Azuara

Margarita Province,https://en.wikipedia.org/wiki/Margarita_Province

Tagajõgi,https://en.wikipedia.org/wiki/Tagaj%C3%B5gi

"Jarilla, Cáceres","https://en.wikipedia.org/wiki/Jarilla,_C%C3%A1ceres"

List of countries with universal health care,https://en.wikipedia.org/wiki/List_of_countries_with_universal_health_care

Lujiang station,https://en.wikipedia.org/wiki/Lujiang_station

44th NAACP Image Awards,https://en.wikipedia.org/wiki/44th_NAACP_Image_Awards

Mare Decendrii,https://en.wikipedia.org/wiki/Mare_Decendrii

Capital City Mall,https://en.wikipedia.org/wiki/Capital_City_Mall

Lillian Mobley,https://en.wikipedia.org/wiki/Lillian_Mobley

Brodtberg,https://en.wikipedia.org/wiki/Brodtberg

1998 Arizona gubernatorial election,https://en.wikipedia.org/wiki/1998_Arizona_gubernatorial_election

Saeed Sohrabpour,https://en.wikipedia.org/wiki/Saeed_Sohrabpour

Satlok Ashram,https://en.wikipedia.org/wiki/Satlok_Ashram

Opémican National Park,https://en.wikipedia.org/wiki/Op%C3%A9mican_National_Park

The Long March (novel),https://en.wikipedia.org/wiki/The_Long_March_(novel)

Richard A. Pettigrew,https://en.wikipedia.org/wiki/Richard_A._Pettigrew

Hocking Canal,https://en.wikipedia.org/wiki/Hocking_Canal

Lithoprotection,https://en.wikipedia.org/wiki/Lithoprotection

Deutschkreutz,https://en.wikipedia.org/wiki/Deutschkreutz

Smythe baronets,https://en.wikipedia.org/wiki/Smythe_baronets

2010 Cellular South Cup – Singles,https://en.wikipedia.org/wiki/2010_Cellular_South_Cup_%E2%80%93_Singles

"Bigler's Mill, Virginia","https://en.wikipedia.org/wiki/Bigler%27s_Mill,_Virginia"

Sunset Beach State Recreation Site,https://en.wikipedia.org/wiki/Sunset_Beach_State_Recreation_Site

Luciano Borzone,https://en.wikipedia.org/wiki/Luciano_Borzone

2012 Party Rock Open – Doubles,https://en.wikipedia.org/wiki/2012_Party_Rock_Open_%E2%80%93_Doubles

"University, Minneapolis","https://en.wikipedia.org/wiki/University,_Minneapolis"

Basal-cell carcinoma,https://en.wikipedia.org/wiki/Basal-cell_carcinoma

"John FitzThomas, 1st Baron Desmond","https://en.wikipedia.org/wiki/John_FitzThomas,_1st_Baron_Desmond"

Ark (web series),https://en.wikipedia.org/wiki/Ark_(web_series)

Porosteognathus,https://en.wikipedia.org/wiki/Porosteognathus

Plain Tribals Council of Assam,https://en.wikipedia.org/wiki/Plain_Tribals_Council_of_Assam

Tom Mabe,https://en.wikipedia.org/wiki/Tom_Mabe

8 Heads in a Duffel Bag,https://en.wikipedia.org/wiki/8_Heads_in_a_Duffel_Bag

Hyalospectra pustularia,https://en.wikipedia.org/wiki/Hyalospectra_pustularia

Blow the Whistle (song),https://en.wikipedia.org/wiki/Blow_the_Whistle_(song)

Rotstein (surname),https://en.wikipedia.org/wiki/Rotstein_(surname)

Aasif Sheikh,https://en.wikipedia.org/wiki/Aasif_Sheikh

Saint-Jean-de-Rebervilliers,https://en.wikipedia.org/wiki/Saint-Jean-de-Rebervilliers

Crackenthorpe,https://en.wikipedia.org/wiki/Crackenthorpe

SM UB-47,https://en.wikipedia.org/wiki/SM_UB-47

Arctoparmelia centrifuga,https://en.wikipedia.org/wiki/Arctoparmelia_centrifuga

Dendrelaphis humayuni,https://en.wikipedia.org/wiki/Dendrelaphis_humayuni

Novogeorgievsk,https://en.wikipedia.org/wiki/Novogeorgievsk

Limping calici,https://en.wikipedia.org/wiki/Limping_calici

The Dinosauria,https://en.wikipedia.org/wiki/The_Dinosauria

"Beeston, Norfolk","https://en.wikipedia.org/wiki/Beeston,_Norfolk"

Classiebawn Castle,https://en.wikipedia.org/wiki/Classiebawn_Castle

Henbury Station,https://en.wikipedia.org/wiki/Henbury_Station

M. S. Swaminathan,https://en.wikipedia.org/wiki/M._S._Swaminathan

WLFH,https://en.wikipedia.org/wiki/WLFH

"Lake Forest, Illinois","https://en.wikipedia.org/wiki/Lake_Forest,_Illinois"

Tommy Fitzsimmons,https://en.wikipedia.org/wiki/Tommy_Fitzsimmons

Mastocarpus papillatus,https://en.wikipedia.org/wiki/Mastocarpus_papillatus

Bonosus of Trier,https://en.wikipedia.org/wiki/Bonosus_of_Trier

All Will Be Well,https://en.wikipedia.org/wiki/All_Will_Be_Well

World Rugby Women's Sevens Player of the Year,https://en.wikipedia.org/wiki/World_Rugby_Women%27s_Sevens_Player_of_the_Year

Stephanie Ashworth,https://en.wikipedia.org/wiki/Stephanie_Ashworth

Riverview School District (Pennsylvania),https://en.wikipedia.org/wiki/Riverview_School_District_(Pennsylvania)

Saint Bobo,https://en.wikipedia.org/wiki/Saint_Bobo

Totò and Carolina,https://en.wikipedia.org/wiki/Tot%C3%B2_and_Carolina

Shagaya,https://en.wikipedia.org/wiki/Shagaya

Ulrich Raulff,https://en.wikipedia.org/wiki/Ulrich_Raulff

Annie Bidwell,https://en.wikipedia.org/wiki/Annie_Bidwell

Takhayyur,https://en.wikipedia.org/wiki/Takhayyur

"Shanmughanathar Temple, Kunnakudi","https://en.wikipedia.org/wiki/Shanmughanathar_Temple,_Kunnakudi"

Richard Phelps (rower),https://en.wikipedia.org/wiki/Richard_Phelps_(rower)

"Bucoda, Washington","https://en.wikipedia.org/wiki/Bucoda,_Washington"

"Qaderlu, Zanjan","https://en.wikipedia.org/wiki/Qaderlu,_Zanjan"

PpilKu,https://en.wikipedia.org/wiki/PpilKu

Your Contemporary,https://en.wikipedia.org/wiki/Your_Contemporary

Berg station,https://en.wikipedia.org/wiki/Berg_station

Melaniparus,https://en.wikipedia.org/wiki/Melaniparus

Dangez,https://en.wikipedia.org/wiki/Dangez

Charlie Pannam,https://en.wikipedia.org/wiki/Charlie_Pannam

Erskine Henry Bronson,https://en.wikipedia.org/wiki/Erskine_Henry_Bronson

Los Angeles Athletic Club,https://en.wikipedia.org/wiki/Los_Angeles_Athletic_Club

Toft Newton,https://en.wikipedia.org/wiki/Toft_Newton

Gotham Knights (video game),https://en.wikipedia.org/wiki/Gotham_Knights_(video_game)

Szenicsite,https://en.wikipedia.org/wiki/Szenicsite

Kuraishia,https://en.wikipedia.org/wiki/Kuraishia

Taktakenéz,https://en.wikipedia.org/wiki/Taktaken%C3%A9z

Lake Shirwa,https://en.wikipedia.org/wiki/Lake_Shirwa

Opa (song),https://en.wikipedia.org/wiki/Opa_(song)

Connor Williams,https://en.wikipedia.org/wiki/Connor_Williams

Kashmiri handicrafts,https://en.wikipedia.org/wiki/Kashmiri_handicrafts

2006 Western & Southern Financial Group Masters,https://en.wikipedia.org/wiki/2006_Western_%26_Southern_Financial_Group_Masters

Pandanguo,https://en.wikipedia.org/wiki/Pandanguo

Annaberg,https://en.wikipedia.org/wiki/Annaberg

Shamrock Bowl XXI,https://en.wikipedia.org/wiki/Shamrock_Bowl_XXI

Path profile,https://en.wikipedia.org/wiki/Path_profile

NxStage,https://en.wikipedia.org/wiki/NxStage

2004 NFL Draft,https://en.wikipedia.org/wiki/2004_NFL_Draft

University of Rhode Island Botanical Gardens and Everett P. Christopher Arboretum,https://en.wikipedia.org/wiki/University_of_Rhode_Island_Botanical_Gardens_and_Everett_P._Christopher_Arboretum

Irene Commando,https://en.wikipedia.org/wiki/Irene_Commando

The Government Savings Bank (1833),https://en.wikipedia.org/wiki/The_Government_Savings_Bank_(1833)

Renata Knapik-Miazga,https://en.wikipedia.org/wiki/Renata_Knapik-Miazga

Bioelectrospray,https://en.wikipedia.org/wiki/Bioelectrospray

Apelu Ioane,https://en.wikipedia.org/wiki/Apelu_Ioane

Journal of Manipulative and Physiological Therapeutics,https://en.wikipedia.org/wiki/Journal_of_Manipulative_and_Physiological_Therapeutics

Islah,https://en.wikipedia.org/wiki/Islah

Financial toxicity,https://en.wikipedia.org/wiki/Financial_toxicity

St Davids Lifeboat Station,https://en.wikipedia.org/wiki/St_Davids_Lifeboat_Station

Partovi az Quran,https://en.wikipedia.org/wiki/Partovi_az_Quran

Guy Rodgers,https://en.wikipedia.org/wiki/Guy_Rodgers

Graciela Palau de Nemes,https://en.wikipedia.org/wiki/Graciela_Palau_de_Nemes

"Dereboyu, Seben","https://en.wikipedia.org/wiki/Dereboyu,_Seben"

Lefty Nelson,https://en.wikipedia.org/wiki/Lefty_Nelson

Donald C. MacDonald,https://en.wikipedia.org/wiki/Donald_C._MacDonald

Autolycus (areopagite),https://en.wikipedia.org/wiki/Autolycus_(areopagite)

"Wavell Heights, Queensland","https://en.wikipedia.org/wiki/Wavell_Heights,_Queensland"

1948–49 Divizia B,https://en.wikipedia.org/wiki/1948%E2%80%9349_Divizia_B

The Policewoman,https://en.wikipedia.org/wiki/The_Policewoman

RCA Country Legends (Waylon Jennings album),https://en.wikipedia.org/wiki/RCA_Country_Legends_(Waylon_Jennings_album)

4954 Eric,https://en.wikipedia.org/wiki/4954_Eric

Ai Kakuma,https://en.wikipedia.org/wiki/Ai_Kakuma

Miomantis arabica,https://en.wikipedia.org/wiki/Miomantis_arabica

Noceda del Bierzo,https://en.wikipedia.org/wiki/Noceda_del_Bierzo

Lewis Fiorini,https://en.wikipedia.org/wiki/Lewis_Fiorini

Closure (Cadet song),https://en.wikipedia.org/wiki/Closure_(Cadet_song)

Paulin Mbaye,https://en.wikipedia.org/wiki/Paulin_Mbaye

Battel,https://en.wikipedia.org/wiki/Battel

Siva Selliah,https://en.wikipedia.org/wiki/Siva_Selliah

Luciana Silveyra,https://en.wikipedia.org/wiki/Luciana_Silveyra

Andrew Lewis (sailor),https://en.wikipedia.org/wiki/Andrew_Lewis_(sailor)

2001–02 Országos Bajnokság I (men's water polo),https://en.wikipedia.org/wiki/2001%E2%80%9302_Orsz%C3%A1gos_Bajnoks%C3%A1g_I_(men%27s_water_polo)

Glutelin,https://en.wikipedia.org/wiki/Glutelin

Saudi Landbridge Project,https://en.wikipedia.org/wiki/Saudi_Landbridge_Project

VisionAire Vantage,https://en.wikipedia.org/wiki/VisionAire_Vantage

The Pilgrim's Progress (film),https://en.wikipedia.org/wiki/The_Pilgrim%27s_Progress_(film)

Lay My Lily Down,https://en.wikipedia.org/wiki/Lay_My_Lily_Down

Walter Fletcher (running back),https://en.wikipedia.org/wiki/Walter_Fletcher_(running_back)

PoSAT-1,https://en.wikipedia.org/wiki/PoSAT-1

Eryngium leavenworthii,https://en.wikipedia.org/wiki/Eryngium_leavenworthii

Hillary Lindsey,https://en.wikipedia.org/wiki/Hillary_Lindsey

Warne Marsh Lee Konitz: Jazz Exchange Vol. 3,https://en.wikipedia.org/wiki/Warne_Marsh_Lee_Konitz:_Jazz_Exchange_Vol._3

A+E (album),https://en.wikipedia.org/wiki/A%2BE_(album)

Nang Tani,https://en.wikipedia.org/wiki/Nang_Tani

Luis Acuña,https://en.wikipedia.org/wiki/Luis_Acu%C3%B1a

Eagle Cap Excursion Train,https://en.wikipedia.org/wiki/Eagle_Cap_Excursion_Train

Wielgomłyny,https://en.wikipedia.org/wiki/Wielgom%C5%82yny

"The Cross Keys, Totternhoe","https://en.wikipedia.org/wiki/The_Cross_Keys,_Totternhoe"

Joseph T. Anderson,https://en.wikipedia.org/wiki/Joseph_T._Anderson

2014 AFC U-19 Championship,https://en.wikipedia.org/wiki/2014_AFC_U-19_Championship

Staebler–Wronski effect,https://en.wikipedia.org/wiki/Staebler%E2%80%93Wronski_effect

United States Show Jumping Hall of Fame,https://en.wikipedia.org/wiki/United_States_Show_Jumping_Hall_of_Fame

Yves Michel,https://en.wikipedia.org/wiki/Yves_Michel

Cathartes emsliei,https://en.wikipedia.org/wiki/Cathartes_emsliei

Waiting for the Barbarians (disambiguation),https://en.wikipedia.org/wiki/Waiting_for_the_Barbarians_(disambiguation)

Mommy XXX,https://en.wikipedia.org/wiki/Mommy_XXX

Noccaeopsis,https://en.wikipedia.org/wiki/Noccaeopsis

Richard Jefferson (disambiguation),https://en.wikipedia.org/wiki/Richard_Jefferson_(disambiguation)

Jeng,https://en.wikipedia.org/wiki/Jeng

Babić,https://en.wikipedia.org/wiki/Babi%C4%87

Lubicz Dolny,https://en.wikipedia.org/wiki/Lubicz_Dolny

3C 295,https://en.wikipedia.org/wiki/3C_295

Harold's Planet,https://en.wikipedia.org/wiki/Harold%27s_Planet

Eupithecia lafontaineata,https://en.wikipedia.org/wiki/Eupithecia_lafontaineata

Mary Fiske Stoughton House,https://en.wikipedia.org/wiki/Mary_Fiske_Stoughton_House

Zechs Marquise,https://en.wikipedia.org/wiki/Zechs_Marquise

Arkadiusz Chęciński,https://en.wikipedia.org/wiki/Arkadiusz_Ch%C4%99ci%C5%84ski

Oz Before the Rainbow,https://en.wikipedia.org/wiki/Oz_Before_the_Rainbow

Capoocan,https://en.wikipedia.org/wiki/Capoocan

2011–12 Grand Prix of Figure Skating Final,https://en.wikipedia.org/wiki/2011%E2%80%9312_Grand_Prix_of_Figure_Skating_Final

Five Ponds Copse,https://en.wikipedia.org/wiki/Five_Ponds_Copse

Nicky Hartery,https://en.wikipedia.org/wiki/Nicky_Hartery

Apple FileWare,https://en.wikipedia.org/wiki/Apple_FileWare

Neottia cordata,https://en.wikipedia.org/wiki/Neottia_cordata

Jacob van Hoogstraaten,https://en.wikipedia.org/wiki/Jacob_van_Hoogstraaten

GRL-0617,https://en.wikipedia.org/wiki/GRL-0617

Peter Watkinson,https://en.wikipedia.org/wiki/Peter_Watkinson

1871 Westmorland by-election,https://en.wikipedia.org/wiki/1871_Westmorland_by-election

Eyo Okponung,https://en.wikipedia.org/wiki/Eyo_Okponung

107th meridian east,https://en.wikipedia.org/wiki/107th_meridian_east

Langballig (Amt),https://en.wikipedia.org/wiki/Langballig_(Amt)

Stephen Ross,https://en.wikipedia.org/wiki/Stephen_Ross

James Goodale,https://en.wikipedia.org/wiki/James_Goodale

Perrinn Cars,https://en.wikipedia.org/wiki/Perrinn_Cars

Lil' Eightball,https://en.wikipedia.org/wiki/Lil%27_Eightball

Knapp Farm,https://en.wikipedia.org/wiki/Knapp_Farm

"Newtown, Indiana","https://en.wikipedia.org/wiki/Newtown,_Indiana"

16th Congress,https://en.wikipedia.org/wiki/16th_Congress

List of additives in cigarettes,https://en.wikipedia.org/wiki/List_of_additives_in_cigarettes

"Makari, Tonkolili","https://en.wikipedia.org/wiki/Makari,_Tonkolili"

Larbi Chebbak,https://en.wikipedia.org/wiki/Larbi_Chebbak

Ibrahim Diop,https://en.wikipedia.org/wiki/Ibrahim_Diop

Kishanpur Ghurka,https://en.wikipedia.org/wiki/Kishanpur_Ghurka

List of Korean Canadians,https://en.wikipedia.org/wiki/List_of_Korean_Canadians

Tennessee Court of Appeals,https://en.wikipedia.org/wiki/Tennessee_Court_of_Appeals

"Durgapur, SBS Nagar","https://en.wikipedia.org/wiki/Durgapur,_SBS_Nagar"

Rewadih,https://en.wikipedia.org/wiki/Rewadih

Greatest Hits Live (Sham 69 album),https://en.wikipedia.org/wiki/Greatest_Hits_Live_(Sham_69_album)

The Green Brain,https://en.wikipedia.org/wiki/The_Green_Brain

Mount Dana (Washington),https://en.wikipedia.org/wiki/Mount_Dana_(Washington)

Nicholas L'Estrange,https://en.wikipedia.org/wiki/Nicholas_L%27Estrange

Leonard Levy (cricketer),https://en.wikipedia.org/wiki/Leonard_Levy_(cricketer)

Witthoh,https://en.wikipedia.org/wiki/Witthoh

Social employee,https://en.wikipedia.org/wiki/Social_employee

"Yamae, Kumamoto","https://en.wikipedia.org/wiki/Yamae,_Kumamoto"

William Cuthbertson,https://en.wikipedia.org/wiki/William_Cuthbertson

My Red Hot Car,https://en.wikipedia.org/wiki/My_Red_Hot_Car

Victoriano Ramírez,https://en.wikipedia.org/wiki/Victoriano_Ram%C3%ADrez

Ophidian Wheel,https://en.wikipedia.org/wiki/Ophidian_Wheel

Heroine (Minori Chihara album),https://en.wikipedia.org/wiki/Heroine_(Minori_Chihara_album)

Xing Song,https://en.wikipedia.org/wiki/Xing_Song

Elloughton,https://en.wikipedia.org/wiki/Elloughton

George Graham (monologist),https://en.wikipedia.org/wiki/George_Graham_(monologist)

Ganzavia GAK-22 Dino,https://en.wikipedia.org/wiki/Ganzavia_GAK-22_Dino

Shelton College,https://en.wikipedia.org/wiki/Shelton_College

Szigetszentmiklósi TK,https://en.wikipedia.org/wiki/Szigetszentmikl%C3%B3si_TK

Ville Räsänen,https://en.wikipedia.org/wiki/Ville_R%C3%A4s%C3%A4nen

Marcus Piossek,https://en.wikipedia.org/wiki/Marcus_Piossek

Axe (gamer),https://en.wikipedia.org/wiki/Axe_(gamer)

Grzymały Szczepankowskie,https://en.wikipedia.org/wiki/Grzyma%C5%82y_Szczepankowskie

Mountain worship,https://en.wikipedia.org/wiki/Mountain_worship

Nikolai Bagley,https://en.wikipedia.org/wiki/Nikolai_Bagley

Protitame virginalis,https://en.wikipedia.org/wiki/Protitame_virginalis

Abu Tratter,https://en.wikipedia.org/wiki/Abu_Tratter

Vaillant's mabuya,https://en.wikipedia.org/wiki/Vaillant%27s_mabuya

Chikkoppa K.M.,https://en.wikipedia.org/wiki/Chikkoppa_K.M.

"Fashchivka, Antratsyt Raion, Luhansk Oblast","https://en.wikipedia.org/wiki/Fashchivka,_Antratsyt_Raion,_Luhansk_Oblast"

List of units of the Italian Army,https://en.wikipedia.org/wiki/List_of_units_of_the_Italian_Army

Niclas Herbst,https://en.wikipedia.org/wiki/Niclas_Herbst

Givira sobrana,https://en.wikipedia.org/wiki/Givira_sobrana

Cressanges,https://en.wikipedia.org/wiki/Cressanges

Lara Bazelon,https://en.wikipedia.org/wiki/Lara_Bazelon

"Vankova, Perm Krai","https://en.wikipedia.org/wiki/Vankova,_Perm_Krai"

Nacoleia pachytornalis,https://en.wikipedia.org/wiki/Nacoleia_pachytornalis

Ho Chi Minh,https://en.wikipedia.org/wiki/Ho_Chi_Minh

